Attendance in that particular semester?,Study pattern you follow?,How many hours on an average you have studied in that semester on daily basis?,0 of holidays you had took in that semester?,You Stayed in hostel in that semester?,You had mess food in that semester?,You Drink or Smoke?,You were in relationship in that particular semester?,Studying on Education Loan?,Parental Pressure(Mental or Financial) for studying?,Indulged in any kind of physical activity(Gym/Sports)? ,Avg time given to any kind of college club or community activity on daily basis?,Social Media usage or Gaming on daily basis?,CGPA/TGPA in the selected semester?
3,1,2,0,1,0,0,1,0,0,0,0,3,9.33
1,0,1,1,0,0,0,0,0,0,0,0,2,6.58
1,1,6,2,0,0,0,1,0,0,1,4,6,8.6
1,1,2,2,1,1,0,0,0,0,0,0,3,8.9
3,1,2,0,1,1,1,0,0,0,0,0,1,7.44
3,1,1,0,1,1,0,1,1,1,0,0,6,9.2
1,1,5,2,1,0,0,1,0,0,1,1,2,8.2
1,0,2,1,1,1,0,0,0,0,0,4,1,7.8
1,0,1,2,1,1,1,1,0,0,0,0,5,6.6
1,0,1,2,1,1,1,1,0,0,0,0,5,6.5
2,0,2,1,1,0,0,0,0,0,1,1,1,8.6
2,0,2,1,1,1,0,0,0,0,0,1,2,8.9
0,0,1,2,0,0,0,0,0,0,1,1,1,8.5
2,0,1,1,1,0,0,0,0,0,1,2,2,7.71
0,0,1,2,0,0,1,1,1,1,0,0,6,6
0,0,3,2,0,0,0,0,0,0,1,0,6,7.1
1,0,1,2,1,0,0,0,0,0,0,0,4,9.1
1,1,4,0,0,0,0,0,0,0,0,1,1,7.5
2,1,5,0,0,0,0,0,0,0,0,1,1,7.6
1,1,4,0,0,0,0,0,0,0,0,1,1,6.9
2,1,6,0,0,0,0,0,0,0,0,0,1,8.54
1,1,5,0,0,0,0,0,0,0,0,0,1,7.92
1,1,5,0,0,0,0,0,0,0,0,0,1,7
2,1,2,2,1,0,0,0,1,0,0,0,3,8.7
2,0,5,1,1,1,0,0,0,1,0,1,2,1
2,0,5,1,1,1,0,0,0,1,0,1,2,1
2,0,1,1,1,0,0,1,1,0,1,0,3,8.56
2,0,3,0,1,1,0,0,0,0,1,2,2,7.82
0,0,2,2,0,0,1,0,0,0,1,0,4,6.5
0,0,3,1,0,0,1,0,0,0,1,0,5,7.5
0,0,3,1,0,0,0,0,0,0,1,1,6,6.8
0,1,4,0,0,0,0,0,0,0,1,1,1,7.5
0,0,3,0,1,1,0,0,0,0,1,1,2,7.4
0,0,2,0,1,1,0,0,0,0,0,1,2,7.73
3,1,2,0,1,1,0,0,1,0,0,0,1,8.7
3,0,2,0,1,1,0,1,1,0,0,0,5,8.9
2,0,3,0,1,1,0,1,1,0,0,0,2,8.13
3,1,2,0,1,1,0,0,0,0,0,0,2,9.13
3,1,2,0,1,1,0,0,0,0,0,0,3,9.09
3,0,1,0,1,1,0,0,1,0,0,0,4,8.96
3,0,1,1,1,1,0,1,1,0,0,0,4,8.99
3,0,1,1,1,1,0,1,1,0,0,0,5,9.16
3,0,1,2,0,0,1,0,1,0,0,0,6,8.67
2,0,1,1,0,0,1,1,0,1,1,0,1,6.8
2,0,1,0,0,0,0,0,1,0,1,1,3,7.86
1,1,2,0,1,1,0,0,1,0,0,0,5,6.62
1,1,4,1,1,1,0,0,0,0,1,2,3,7.5
1,0,3,0,1,1,1,1,1,1,1,0,1,8.2
0,0,3,1,0,1,1,0,0,1,0,0,3,10
1,0,1,0,1,0,0,0,1,0,1,0,2,8.28
0,0,2,0,0,0,0,0,0,1,0,0,3,8.7
2,1,2,1,1,1,0,0,0,0,1,1,2,7.5
2,0,3,1,0,0,1,1,1,0,0,0,3,7.8
1,0,3,1,0,0,1,1,0,0,0,2,2,7.8
2,1,3,0,1,1,0,1,1,0,0,1,3,7.9
3,0,1,0,1,1,1,1,1,0,1,0,3,8.1
2,0,2,0,1,0,0,0,0,0,0,1,3,8.5
2,1,4,0,0,0,0,0,1,0,0,0,1,7.95
2,0,2,0,0,0,0,0,0,0,0,1,2,7.96
2,0,2,0,0,0,0,0,0,1,1,0,1,6.1
